Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers,total
35.2,128.6,0,37,53,6,27,123
35.2,129.0,8,5,8,0,0,21
35.8,128.6,8,8,0,0,8,24
35.8,129.2,0,5,0,0,0,5
36.0,129.3,1,1,0,0,0,2
36.5,128.6,16,18,12,0,6,52
36.6,129.1,6,0,0,0,0,6
36.9,127.9,24,114,9,0,0,147
37.0,127.0,20,21,6,1,12,60
37.0,127.1,12,12,1,1,0,26
37.1,128.9,0,0,0,0,1,1
37.2,126.5,31,8,0,0,9,48
37.2,127.3,3,1,0,0,3,7
37.2,127.4,26,0,0,0,2,28
37.2,127.6,37,11,6,0,4,58
37.2,127.7,14,13,0,0,3,30
37.3,126.4,4,0,0,4,4,12
37.3,126.5,38,22,0,0,12,72
37.3,126.9,33,11,4,3,5,56
37.3,127.0,123,47,13,2,34,219
37.3,127.1,91,15,4,5,16,131
37.3,127.9,8,5,0,0,0,13
37.4,126.4,27,50,11,4,23,115
37.4,126.7,8,15,0,0,0,23
37.4,126.8,32,60,4,2,12,110
37.4,127.0,61,60,10,6,33,170
37.4,127.1,35,32,3,0,7,77
37.5,126.7,30,13,7,12,11,73
37.5,126.8,111,196,57,39,65,468
37.5,126.9,365,186,26,0,67,644
37.5,127.0,863,655,80,52,219,1869
37.5,127.1,34,36,1,0,15,86
37.5,127.2,27,25,2,1,21,76
37.6,126.5,20,17,11,5,12,65
37.6,126.8,90,78,0,27,39,234
37.6,126.9,59,13,9,10,21,112
37.6,127.0,158,108,25,11,37,339
37.7,126.6,13,4,1,0,1,19
